comment_id,video_id,comment_text,discourse_label,annotation_confidence,pass_a_label,verification_label,verification_status,adjudication_required,final_annotation_source
UghzQGSwp2sUU3gCoAEC.8AfDhQcj8oc8BFbM8ZBqUq,H_5TPzquRyo,"+Garuda Pelajar Sangat disayangkan masih banyak rakyat Indonesia yang lebih percaya dengan hal mistis daripada kepadtian dalam Ilmu Sains. Yang berpikir bahwa kepercayaan adalah solusi dari segalanya dan masalah yang ada disekitar mereka dapat diperbaiki dalam bentuk mantra maupun kata-kata. Dan orang-orang sangatlah tidak menerima Fakta-fakta ilmu pengetahuan. Yang menggunakan alasan 'teori hanya sebuah teori' yang berawalan teori itu tidak pasti. Mari kita tidak sebut namanya, namun ada banyak ketua sebuah organisasi agama yang secara besar tidak setuju dengan evolusi. Evolusi adalah suatu kepastian, suatu fakta alam yang didukung oleh banyak bukti-bukti fisik maupun historikal yang ada.   Anda adalah seorang yang cemerlang, dan saya yakin memiliki pengertian lebih dari beberapa orang yang ada di comment section ini. Kalau boleh tahu, apakah anggapan kamu terhadap evolusi? Yakin? Mengapa? Tidak yakin? Mengapa?",Agreement,High,Agreement,Agreement,confirmed,False,pass_agreement
UgwGjArdmjcz4fpkOy54AaABAg,impJiSfof9E,masih menunggu planet lain yang layak huni,Opinion,Medium,Opinion,Opinion,confirmed,False,pass_agreement
UgjZ4P7cu01qQ3gCoAEC.8Gq-IrkDxuW8Gq633DhxLq,iq0yOkj3d28,"yang percaya bumi itu datar putus sekolah aja Sono gak ada teori yang nyambung sama sekali sama teori bumi itu datar example ""kenapa kita  kok bisa gali sedalam2nya di mana ituh hmmm....masa kamu gali bumi sedikit aja langsung lobang?? soalnya kalo datar = tipis kalo gak tipis gimana bisa DATAR nantikan malah jadi TABUNG. JIKA ORANG2 BERPIKIR BUMI ITU DATAR MAKA MEREKA SAMA AJA NGULANGI BUMI INI DARI JAMAN PRAAKSARA!!!! #yangcapslockmasihmungkin",Opinion,Low,Praise,Opinion,revised,False,verification_revision
UgyYSe4YpWTZ_49KS_x4AaABAg,QK01ROEqJ1A,"Keren yah manusia bisa tau ada berjelimet jenis galaksi dan luasnya galaksi, tapi belum bisa meneliti 100 persen tahu tentang bumi itu senditi... Pppfftttt contohnya kedalaman laut....",Praise,High,Praise,Praise,confirmed,False,pass_agreement
UgxTGz4uW8nrFRJFV2N4AaABAg.8y7SogCQmXx9Ducd7NrEQf,NVDIHTGVcLc,"@bayboygaming4260 tau toleransi gak sih? Saling menghargai donk satu sama lain, gw jg islam",Question,Medium,Question,Question,confirmed,False,pass_agreement
UgwOTGBhF_fJiqqwdfB4AaABAg,impJiSfof9E,Itu gerehana matahari,Opinion,Medium,Opinion,Opinion,confirmed,False,pass_agreement
Ugi7BpL4L_k_pHgCoAEC.8SQScHFQU_59AaHIjMaPqO,NVDIHTGVcLc,@icezidane lah elu cuma video konspirasi dipercaya😂😂😂,Suggestion,Low,Suggestion,Suggestion,confirmed,False,pass_agreement
Ugwn5GL--Rplirk8hUF4AaABAg,dghOCZmSEUQ,Min apa sih dlmnya lubang hitam,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgweZMNeswYNs-bvwuN4AaABAg,impJiSfof9E,Terus kalo bumi kesedot sama black hole bakal gimana?,Correction,Low,Question,Correction,revised,False,verification_revision
UgyvsAgvyFvayUEjD654AaABAg,zbSe0xE7tg0,kenapa sih pas kelar kencing kepala kayak geleng2??,Experience,Low,Correction,Experience,revised,False,verification_revision
UghruGXIKJtD13gCoAEC.8OUA70acXzf9TpW9j4pKMJ,NVDIHTGVcLc,betul,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
Ugwuiui2WVLat5xjqvV4AaABAg,Beod6J0genE,"Seruuu banget ni kalo pembawaan videonya kayak ginii. Jadi lebih menarik wkwk. Menurutku bakal lebih bagus kalo ada sisi cinematicnya sih, kayak video hujan berlian di channel """"Inspiratips"""" misalnya Semangat bang!!",Opinion,Medium,Opinion,Opinion,confirmed,False,pass_agreement
UgzZmf1nyX2zDH6kN7p4AaABAg,QK01ROEqJ1A,"07:49 Gw seneng dengar yang bagian ini. Membuat gw sadar kalau kita semua ini hidup di satu planet walau pun di berbeda-beda tempat .Bumi ini tempat kita semua tinggal  . . . . Kalau saja semua orang - orang sadar akan hal ini mungkin kita bisa hidup dengan baik dengan mengerti semua hal yang ada di muka bumi ini dan menghargai semuanya walaupun berbeda pemikiran,pendapat,dan lain-lain",Opinion,Low,Opinion,Opinion,confirmed,False,pass_agreement
UgiBhoINWKXnI3gCoAEC,iyJeozHhvJI,yg bikin bulan bukannya Rikudou Sennin pas segel Juubi ya?,Question,High,Question,Question,confirmed,False,pass_agreement
UgwOV8E8acZWPX1_1Rt4AaABAg,qis44fqpuAU,Kembali ke masa lalu..,Experience,High,Opinion,Experience,revised,False,verification_revision
UgzzJXMnczCyPkV90wd4AaABAg.9KeIGyekg6_9LQ6O5y0hGR,QK01ROEqJ1A,Kalo di surga tuh gk bakal kepikiran masalah itu karena betapa indahnya surga,Opinion,Low,Opinion,Opinion,confirmed,False,pass_agreement
UgzlBtWt4bl6FXtntdd4AaABAg,21seK8tKSYI,Bumi datar,Opinion,Low,Opinion,Opinion,confirmed,False,pass_agreement
Ugw_LQ-btJdFlnwSvC94AaABAg.9b-fIAWVCJA9b2Xad84DCo,Beod6J0genE,Adalah gwej,Disagreement,Low,Disagreement,Disagreement,confirmed,False,pass_agreement
UgzjAXR9i6inrd08A_h4AaABAg.9LY2aJthJ3E9LsZ3V8RuMj,21seK8tKSYI,@Kardus Susu cari videonya oon,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgwipUOglRN9ZfPxGIJ4AaABAg,5_9wU8yJZ8w,min kenapa beli iphone hari datang pagi2 bahkan sampai nginap emang selaku itu iphone di indonesia?,Question,High,Question,Question,confirmed,False,pass_agreement
UgjYIAIqzBFW_XgCoAEC.8RY7PPYkj-28RYGTtSTMpY,YljSXjd4lnk,Bintang Akbar karena gaya archimedes atau dapat di bilang daya apung,Opinion,Low,Opinion,Opinion,confirmed,False,pass_agreement
UgiUf6Y6aWYB5ngCoAEC,FjFsx6iQE3Y,baca Al-Qur'an aja min,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgzQQbb34MYH5WqQnvd4AaABAg,QK01ROEqJ1A,Merinding 😫,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
Ugzp-WiRuRAXrRXhjhJ4AaABAg.9KkXNfqr48P9LD1N7fZtrP,21seK8tKSYI,"Iya bumi itu mitos, Bumi itu, cgi palsu kita sebenarnya tinggal di cangkang kura kura yang barusan jatuh kena tanah lalu kura nya mati sehingga banyak tanah tanah lalu kita bakteri bakteri hidup di cangkang kura kura ini berdasarkan teori nessie HD Judge reomit",Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgiNiQ53PXjyW3gCoAEC,NVDIHTGVcLc,ada berapa galaxy diluar angkasa?,Question,Medium,Question,Question,confirmed,False,pass_agreement
UgzD42cuIaP1p4Opw4F4AaABAg.9RcFTGeGxBk9SDPEt77eoX,T9ttUfGG7EE,"@Syarief Hidayatullah mknya dek pke dlu tu otak jgn asal ngomong, malas gw ngomong am bch pengetahuan sd",Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgwHCutIzmz4V4a0lsJ4AaABAg.8jWSM8nHBCS8jXYwzAlHb0,qis44fqpuAU,"ril R presiden 2019 saya tidak bisa bocor kan karena akan membuat anda berani taruhan sama teman mu, tetapi wakil presiden akan berubah",Opinion,Medium,Opinion,Opinion,confirmed,False,pass_agreement
UgwoA5wDB8bzyUwIfXZ4AaABAg.8wSzMMI2mLm8yBa3c-Huvu,impJiSfof9E,Planet di tata surya bukan di galaksi Bimasakti,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgiXpPsITl5xOngCoAEC,6ceW7ugIKMs,2016 tambah 33th lagi bukan nya 2049 ya kak 😐,Opinion,Medium,Opinion,Opinion,confirmed,False,pass_agreement
Ugwqbd1ik7dWhYnYlcp4AaABAg,qis44fqpuAU,Kalo mesin waktu ditemukan saya akan: Ke jaman rasulullah Ingin melihat kebenaran dimalam 30 september 1965 Ke jaman kerajaan,Opinion,Low,Opinion,Opinion,confirmed,False,pass_agreement
Ugy6xsdFhW3csiQNsRJ4AaABAg,Beod6J0genE,Org kaya ketika gabut :,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UggNBMfafreqzXgCoAEC,NVDIHTGVcLc,Keren euy bahasannya..,Suggestion,Low,Praise,Suggestion,revised,False,verification_revision
UggjZZ1FDZntnXgCoAEC,H_5TPzquRyo,kenapa kaca bisa memantulkan bayangan kita?,Question,High,Question,Question,confirmed,False,pass_agreement
UgjwR7Ir6S3G5HgCoAEC,NVDIHTGVcLc,kenapa rasa kangen bisa muncul? trus terkadang abis ketemu bawaanya makin kangen aja. kira kira kenapa ya?,Question,Medium,Question,Question,confirmed,False,pass_agreement
UgxCmjL5LsELvMLiVOl4AaABAg,impJiSfof9E,Bukanya foto itu black hole udh ada mei 2018 ya tepatnya di cannel daftar populer??,Correction,Medium,Question,Correction,revised,False,verification_revision
UgwY1MwVPM4qead1TXt4AaABAg,AxyPASIXz1k,Pantes om Siddharta Gautama bilang dunia itu Maya sifatnya..hemm,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgxBh6VvjaULaHngJKJ4AaABAg,QK01ROEqJ1A,"Ini semua hanyalah khayalan orang"" pintar. Seolah seperti benar tapi daya pikir untuk sampai kesana tidaklah sampai. Dengan berbagai asumsi yang dikemukakan kepada orang"" yang juga seolah pintar. Semuanya khayalan.",Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgzfitwkIxZIs4OFP154AaABAg.8lUbJkW29be8qL3hAX9BUV,21seK8tKSYI,@rifkyfahrana1141buat apa NASA berbohong??? supaya lu bayar pajak bayar pulsa bayar tagihan ini  itu dll yg kiranya bs nguras kantong lu Lu ngira nonton TV pke jasa satelit Padahal cuma pke tower aja udh bs nonton piala pke kabel telkom,Question,High,Question,Question,confirmed,False,pass_agreement
Ugx2bEajulUsvs3Fytp4AaABAg,RBFhyVux3IE,"min, apa yang terjadi dengan file yang sudah terhapus? filenya itu akan terbakar, hilang, atau kemana?",Question,High,Question,Question,confirmed,False,pass_agreement
UgxlUfPtoE_ZcU05igZ4AaABAg,QK01ROEqJ1A,"Dari video ini saya dapat ambil pelajaran, bahwa manusia itu sangat kecil dan tidak patut bagi saya untuk menyombongkan diri.   Kadang saya terlalu stres dan ngotot dan hanya demi mengejar harta di dunia yang tidak dibawa mati, apalagi setelah tau bahwa dunia ini kecil sekali dibanding seluruh alam semesta, rasanya hina sekali sebagai manusia yang (sebenarnya) diciptakan semata-mata hanya untuk mengabdi. 🙏🏼",Correction,Medium,Opinion,Correction,revised,False,verification_revision
UgyoWUoZ0IZuEI0Z03V4AaABAg.9QsGSl5PTwV9QtFY_cVR6t,QK01ROEqJ1A,"@kusutchanel9849 tapi dia itu udah berusaha buat nyari fakta nya, belajar dari buku dan internet lalu dibikin jadi video dan kita tonton, dan lu malah bilang kalau mereka sok tau?",Question,Medium,Question,Question,confirmed,False,pass_agreement
Ugitl6-mi5ZQ8XgCoAEC,H_5TPzquRyo,"Min kalau berani, nanti rencana DR Zakir Naik mau Ke Indonesia. biar seru nih, coba lu jelasin ini ke beliau. bantah penjelasan beliau langsung.  mudah2an bener jadi ke Indonesia. Gmne? terima tantangan ga? hehe.",Question,Medium,Question,Question,confirmed,False,pass_agreement
Ugwb3BYMelGjfQ7L1sx4AaABAg,QK01ROEqJ1A,Masya Allah 😭😭😭  Lantas apa yg harus kita sombong kan ... semuanya ada d genggamanya,Opinion,Medium,Opinion,Opinion,confirmed,False,pass_agreement
UgjUwGCo6_2WuHgCoAEC,H_5TPzquRyo,kak mau tanya benda yang paling terberat didunia apa ya?? #penasaran,Suggestion,High,Suggestion,Suggestion,confirmed,False,pass_agreement
Ugh2rcjKWL-2I3gCoAEC.8FkIl56oPsx8FyD5gXYHNK,H_5TPzquRyo,"+Chandra Fauzi untuk beradaptasi mereka berevolusi , Percaya dinasaurus tapi gk percaya teori evolusi? Terus bensin yang elu pake asalnya dari mana?",Question,High,Question,Question,confirmed,False,pass_agreement
Ugwps5VKMLdH403p3E94AaABAg,jPyd0Xv5LfY,Lendir itu datangnya darimana?? Lendir yang biasa kita keluarkan lewat mulut,Question,Medium,Question,Question,confirmed,False,pass_agreement
Uggmqfs57c_j7ngCoAEC.8Fa_7XNIIrQ8FbVaybEJKK,NVDIHTGVcLc,"+BombCraft000 MC ya penjelasan nya gaada kan ? ini kan channel pengetahuan, jadi kalo pikirannya masih kuno gausah comment",Question,Low,Question,Question,confirmed,False,pass_agreement
UgwmQ8jBXiwlRmFn7pN4AaABAg,QK01ROEqJ1A,Sekarang baru yg ke 3 kali,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
Ughf1a7M1xjgD3gCoAEC.8SUEDp2RzwJ8T8zvoAs1y2,FjFsx6iQE3Y,"Pernah di buat videonya sama kok bisa, cari aja.",Opinion,Medium,Experience,Opinion,revised,False,verification_revision
UgyZ88xyICkcbI1GUdl4AaABAg,21seK8tKSYI,Bagaimana cara ular bisa berjalan?,Suggestion,Low,Suggestion,Suggestion,needs_adjudication,True,adjudicated
Ugz0BxJtsSOEdRaP_bB4AaABAg,rha05J96bOM,Siapa yang mengukur panjang dan berat bintang?,Question,Medium,Question,Question,confirmed,False,pass_agreement
UgxPR_9XVpRvYUE9kDN4AaABAg.9QrpHsqx0rk9Qt-CbX1_av,QK01ROEqJ1A,"cuman teori bang, bahkan big bang aja masih teori, belum tau benar atau salah",Opinion,Low,Opinion,Opinion,confirmed,False,pass_agreement
UgwBOdpuuGl4E3yE5354AaABAg,T9ttUfGG7EE,2:10 Space X Be like: Am i a joke to you (karena space X dulu falcon heavy 9 memakan 127 milion usd sekarang cuma 47 million usd dan ini paling murah),Experience,Low,Experience,Experience,needs_adjudication,True,adjudicated
UghaOqgZccPDk3gCoAEC,FjFsx6iQE3Y,"Nanya dong, apa ada kemungkinan kalo kita bisa ngendaliin waktu? Soalnya kalo ngendaliin elemen ada Avatar... :v",Question,High,Question,Question,confirmed,False,pass_agreement
Ugz-gkFN8848YbeQafp4AaABAg,qis44fqpuAU,kalo gua sendiri mending ke masa depan.karna supaya bisa ngerti nasib kita dimasa depan dan memperbaiki nasib kita masa kini,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
Ugym2P-MKhtf0GV7CQV4AaABAg,impJiSfof9E,"Sebelum mereka nemui saya udah duluan melihatnya secara berulang kali, namun agak berbeda sedikit yaitu Black Eboni",Experience,Medium,Experience,Experience,confirmed,False,pass_agreement
Ugwm2oTsvm039pAGrYB4AaABAg,T8g_hUpx9VU,Saya sebagai VIP sangat suka endingnya 😘😁,Question,Medium,Opinion,Question,revised,False,verification_revision
UgihlQ4LdCjaPngCoAEC.8GC2iDNAX248ILaCcVRhXQ,eXml_nlmPoE,"+Sugih Sastrawan lu keep goblok, percaya ama nasa? hahah tolol, lu aja blom liat bumi bulet begok, klo ada roket terbang keatas pake kamera juga, bumi kelihatan bulet karna pake go pro,",Question,High,Question,Question,confirmed,False,pass_agreement
UgyoUVWmixw5bFRqsIB4AaABAg,FjFsx6iQE3Y,"Ralat, bukan 4000 tahun tapi 4 tahun. kecepatan cahaya cuma butuh 4 tahun sekian, dari bumi sampe ke proxima centauri.🙂",Correction,High,Correction,Correction,confirmed,False,pass_agreement
Ugyg3yBw9sC_7hTt2414AaABAg,AxyPASIXz1k,ini channel harus dimasukin tv sih,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgwqZxuhh_QW47j2ntd4AaABAg.9hZjtfMsCFf9pEvwi41Ieg,21seK8tKSYI,"@madara3283  @Madara (ni gw copas aja biar cepet)     Siklus Saros adalah siklus gerhana (sekitar 6585,3213 hari, atau sekitar 18 tahun 11 1/3 hari), yang dapat digunakan untuk memprediksi gerhana matahari serta gerhana bulan. Satu siklus setelah gerhana, matahari, bumi, dan bulan kembali ke bidang geometri yang relatif sama, dan gerhana yang hampir identik akan terjadi. Ini gw ambil dari Google aja biar cepet. Siklus ini tetap bisa melenceng dari penjadwalan yang sudah di buat maka nya mereka tetap harus memprediksi agar ke akuratanya masih bisa di ukur  Kaum Bumi datar mengklaim tak ada yang bisa memprediksi gerhana dari perhitungan posisi Bulan dan Matahari. Mereka keliru menganggap NASA memprediksi gerhana dengan menggunakan siklus Saros. Script Python singkat ini membuktikan mereka salah.  Prediksi gerhana dilakukan dengan bantuan ephemeris, yaitu perhitungan posisi benda langit pada waktu tertentu. Dengan ephemeris, kita dapat mengetahui posisi Matahari & Bulan pada suatu waktu, lalu menghitung sudut elongasinya untuk menentukan apakah terjadi gerhana.",Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgwX5OCzO-hrja53J4d4AaABAg,rloh5wZxFrU,Kak mau nanya dong?  Kenapa yah kalo matahari jauh banget dari bumi tapi di bumi itu terasa sangat panas banget padahal jauh dari bumi ke matahari itu sekitar 150 jt km,Question,High,Question,Question,confirmed,False,pass_agreement
UgyO2ueUxqumb9O3msF4AaABAg.8tchb-e9N7Y8ttxYqdfWiE,impJiSfof9E,@MAldio-sl2gm eh yang gue tanya lu tau foto bumi itu bulat darimana? Bukan foto black hole cuy 😑,Correction,Low,Experience,Correction,revised,False,verification_revision
UgyRVwK0sPAKFfv5F9J4AaABAg,QK01ROEqJ1A,"kalau bisa punya kekuatan gw mau punya kekuatan yg kebal terhadap apapun (supaya bisa menjelajahi bnyk planet tanpa takut apapun), punya kecepatan 100.000.000.000 kali lebih cepet dari kecepatan cahaya biar bisa keliling2 bnyk galaksi :(( intinya hampir mirip pen punya kekuatan kayak goku biar bisa menjelajahi alam semesta yg luas ini dan bertemu makhluk lain",Praise,Medium,Opinion,Praise,revised,False,verification_revision
UgxwWu3G0eZhsmVbqzZ4AaABAg,T8g_hUpx9VU,Neraka,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
Ugw_edVIHjKDjx33wEd4AaABAg,Beod6J0genE,bang apa benar kalau bergadang bisa membuat wajah menua?,Question,Medium,Question,Question,confirmed,False,pass_agreement
UgyZQEpTvOGpyPAl4Eh4AaABAg,QK01ROEqJ1A,"Keren bang, kaya gini nih yg dari dulu pengen gue tonton",Praise,Medium,Praise,Praise,confirmed,False,pass_agreement
UgwUaoy96soEwad68rF4AaABAg,t5SaFgSaM_M,2:45 YOU NOW lah? ( ͡° ͜ʖ ͡°),Question,Medium,Question,Question,confirmed,False,pass_agreement
Ugxw8YgrcZGy4XGo1-14AaABAg,AxyPASIXz1k,"Jika planck length itu sebesar tubuh manusia,  maka tubuh manusia itu skalanya bahkan lebih besar dari ukuran alam semesta yg diketahui saat ini.",Opinion,Medium,Opinion,Opinion,confirmed,False,pass_agreement
UgxOwgY7yNlkWPxdsdJ4AaABAg.8izP9yshD7S8liiSbRpzHR,FjFsx6iQE3Y,yh gmn mau maju kl pikirannya begitu bambang,Opinion,Low,Opinion,Opinion,confirmed,False,pass_agreement
Ugwbv2OS_zJraQ-oAdx4AaABAg,21seK8tKSYI,Kenapa masinis Jepang suka nunjuk-nunjuk sekelilingnya?,Question,High,Question,Question,confirmed,False,pass_agreement
UgxL7m_jEax8z-HCj5d4AaABAg.9GERWKYMuj89GJcL-USeoo,QK01ROEqJ1A,sebenarnya corona itu di ambil dari bahasa latin yang artinya mahkota lalu kenapa virus corona disebut demikian karena coronavirus mempunyai semacam paku di permukaannya dan corona yang di video ini supercluster apa itu supercluster supercluster adalah kumpulan galaksi galaksi dah cape gue ngetik tapi sampe sini paham kan,Disagreement,Low,Opinion,Disagreement,revised,False,verification_revision
UgzvK6L9jGR70MaCdfl4AaABAg,QK01ROEqJ1A,Yang pengen gua tahu yaitu jika kita menggali ke bawah terus pasti ada perut bumi dan bagaimana jika kita menggali terus hingga melewati perut bumi itu bisakah kita menembus ke suatu tempat seperti misalkan kita menggali di indonesia dan kita akan keluar di rusia mungkin Apakah bisa,Opinion,Medium,Opinion,Opinion,confirmed,False,pass_agreement
Ugx_tnKpfbzMnm1N6oB4AaABAg,5_9wU8yJZ8w,min.kenapa bisa terjadinya petir,Opinion,Medium,Opinion,Opinion,confirmed,False,pass_agreement
UgyYcQovqiddCp86GWp4AaABAg,QK01ROEqJ1A,bumi itu luas manusia itu banyaaak. jd mup on jangan pikirin dia mulu 😁,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
Ugi1tLgvv-EJH3gCoAEC,FMNRItiR6ZA,Mau tanya apa yang dimaksud turbulensi dan mengapa turbulensi terjadi?,Question,Low,Question,Question,confirmed,False,pass_agreement
UgzCFVcq5hn26kEJvfd4AaABAg.9RzJ7zO62FA9_V9AGzgN4Z,QK01ROEqJ1A,"@Jackson-pr7wv prettttt, bukan roh kudus atau burung merpati. Tapi kebodohan lu itu yang membuat lu masih memilih ajaran si paulus",Opinion,Medium,Opinion,Opinion,confirmed,False,pass_agreement
Ugj4Ps-T3NVpAXgCoAEC,iyJeozHhvJI,bang bakso nya jangan di taroh nanti puasa bolong wkwkwkwkwkwkwkwkwk XD,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgwOttKAkG6ZqLyKyIR4AaABAg.99nR1V_7tee9AM6wd12b2-,21seK8tKSYI,@yudhatarigan5600 yang nyuruh lo jadi islam itu siapa Apa ada kata2 ku memmaksamu untuk masuk islam Alquran itu kitabku Dan saya percaya apa yang dituliskan di alquran,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgyxYRIFZZ0X8mAj-754AaABAg.8WtJTrN94Y98lqQnk8mRm9,zbSe0xE7tg0,Langit mana bisa ditembus oleh teknologi pun gak bakal bisa nabi Muhammad isra Miraj nembus langit aja sama malaikat jibril,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
Ugw2pg2fIkkqyG2Tv7h4AaABAg,21seK8tKSYI,"Channel ""Kok Bisa?"" Bagian dari elite Global... Yaang penting dapet DUTI ALIAS DIBAYAR... DUIT DUIT",Question,High,Question,Question,confirmed,False,pass_agreement
UgwIejPPpyD51VghURp4AaABAg,T8g_hUpx9VU,kok bisa ya,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgwiZnOhDwiy7RTM9MF4AaABAg,qis44fqpuAU,Aku bakal ngecek kebanaran dari masa lalu yg banyak diperdebatkan orang,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
Ugh28_rSduojjHgCoAEC.8FkjNC2zSJG8rSFVW-PZPt,FjFsx6iQE3Y,Alat itu gak ada,Question,Low,Opinion,Question,revised,False,verification_revision
Ugz2IoFL0-zSodAdW5R4AaABAg,Beod6J0genE,Ada pertanyaan yg selalu ada di pikiran q ni. Kenapa warga Indonesia kebanyakan males bgt buang sampah ditempat nya? Bukannya kebersihan sebagian dari iman trs disebut g punya iman gt yg buang sampah sembarangan? 🤭,Question,Medium,Question,Question,confirmed,False,pass_agreement
UgzYpyCsCuXMQ0wokEZ4AaABAg,rha05J96bOM,min kenapa urutan planet di bimasakti ga urut ukuran?,Question,High,Question,Question,confirmed,False,pass_agreement
UgildYKSx_gP3HgCoAEC,Tx87wEaDtxo,"sebagian besar penduduk di dunia pasti merasakan bahwa keberadaan ISIS merugikan, lalu mengapa sampai saat ini mereka masih eksis di muka bumi ini ? :')",Question,Medium,Question,Question,confirmed,False,pass_agreement
UgxIx-A3E52tQEDSaKZ4AaABAg,NVDIHTGVcLc,Bang apakah gunung everest gunung tertinggi di dunia #request,Suggestion,High,Suggestion,Suggestion,confirmed,False,pass_agreement
Ugwz5MzxJ1dVAK8tauZ4AaABAg,NVDIHTGVcLc,Bang pengen liat muka lo dong bang,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgiAthPUkkcofHgCoAEC,NVDIHTGVcLc,"Mengapa Orang Indonesia Menyebut Egypt: Mesir, Greece: Yunani, Netherland: Belanda?",Question,Medium,Question,Question,confirmed,False,pass_agreement
